AVG,OBP,SLG,OPS,BB%,K%,ISO,LD%,Pull%,EV,LA,Barrel%,HardHit%,maxEV,Contact%,HR,R,RBI
0.289,0.350993377,0.426470588,0.777463965,0.084437086,0.158940397,0.137867647,0.2172949,0.37028825,90.01911643,7.704027564,0.07284768,0.43267108,110.794,0.83698761,13,88,63
0.287,0.372827804,0.543636363,0.916464167,0.118483412,0.249605055,0.256363636,0.231738035,0.3627204,95.822801,11.56882535,0.17632242,0.57934509,119.035,0.73404255,39,89,98
0.286,0.351955307,0.560165975,0.912121282,0.0707635,0.312849162,0.273858922,0.229559748,0.38050314,92.99990173,17.81591643,0.17924528,0.52201258,113.072,0.67475728,34,89,80
0.286,0.349131121,0.517543859,0.86667498,0.086750788,0.236593059,0.231578947,0.237647058,0.34823529,92.09847426,16.91847886,0.12441315,0.49295775,113.231,0.72991584,28,92,99
0.285,0.3567753,0.485436893,0.842212193,0.101200686,0.222984562,0.2,0.224489795,0.39795918,91.39153413,10.83876978,0.10459184,0.47959184,114.611,0.808,20,75,74
0.285,0.337568058,0.429141716,0.766709774,0.074410163,0.174228675,0.143712575,0.228155339,0.3592233,88.89465571,11.76016676,0.07038835,0.37621359,110.289,0.81232493,13,61,64
0.285,0.350375939,0.439597315,0.789973254,0.084210526,0.165413533,0.154362416,0.166666666,0.40243902,87.59146205,7.886416433,0.06097561,0.34349593,111.381,0.80905861,19,83,58
0.285,0.371534195,0.414893617,0.786427812,0.116451016,0.107208872,0.129787235,0.192307692,0.35336538,90.45510166,8.133787889,0.06730769,0.44951923,110.099,0.85793563,14,59,63
0.285,0.361502347,0.50619469,0.867697037,0.088372093,0.193798449,0.221238938,0.18993135,0.42666667,90.02394037,10.96989305,0.07555556,0.40888889,113.756,0.80470163,25,116,76
0.284,0.368815592,0.517421602,0.886237194,0.118694362,0.136498516,0.233449477,0.19105691,0.44918699,90.22381778,14.76976646,0.10420842,0.44488978,110.084,0.83862876,29,97,112
0.284,0.344642857,0.508806262,0.853449119,0.071428571,0.258928571,0.225048924,0.182561307,0.41689373,91.98864712,10.14337476,0.13079019,0.50681199,117.197,0.71223709,28,84,75
0.283,0.388888888,0.603618421,0.992507309,0.144444444,0.231944444,0.320723685,0.177528089,0.38202247,93.71401675,16.07983508,0.16404494,0.5505618,118.618,0.74585635,54,127,139
0.283,0.34643377,0.382875605,0.729309375,0.07122093,0.120639534,0.100161551,0.19074074,0.31549815,86.59518762,10.47151844,0.01660517,0.3302583,109.24,0.88811795,9,98,68
0.283,0.311940298,0.403453689,0.715393987,0.037313432,0.165671641,0.120879121,0.201886792,0.34716981,88.43895932,5.025827775,0.04528302,0.38490566,115.807,0.81274587,11,86,71
0.282,0.364468864,0.610878661,0.975347525,0.113553113,0.28021978,0.328451883,0.198170731,0.48024316,93.88178235,13.79118384,0.21276596,0.556231,116.595,0.67213115,42,99,97
0.282,0.321428571,0.409090909,0.73051948,0.052721088,0.204081632,0.127272728,0.205069124,0.3202765,88.83610178,5.632265465,0.02764977,0.43087558,111.489,0.76755218,11,77,57
0.282,0.356005788,0.474631751,0.830637539,0.105643994,0.105643994,0.193126023,0.224264705,0.51102941,89.98670152,17.99569523,0.06985294,0.40257353,111.59,0.85526316,24,87,80
0.281,0.345454545,0.51572327,0.861177815,0.082517482,0.24055944,0.23427673,0.185263157,0.41052632,92.29239892,13.49779912,0.13894737,0.48842105,116.081,0.74310595,37,117,97
0.281,0.37477148,0.529787234,0.904558714,0.109689213,0.213893967,0.248936171,0.19047619,0.40056022,88.80490634,15.81052636,0.11484594,0.42016807,114.654,0.75460718,28,70,92
0.281,0.359929078,0.472727272,0.83265635,0.106382978,0.212765957,0.191919192,0.218421052,0.40263158,89.94897073,15.77261466,0.12105263,0.42368421,112.552,0.8002103,23,73,65
0.281,0.32688588,0.409563409,0.736449289,0.054158607,0.11025145,0.128898129,0.207058823,0.36384977,87.20168833,10.66081942,0.0258216,0.3286385,109.721,0.86636971,10,60,55
0.280,0.328638497,0.418803418,0.747441915,0.0609375,0.15625,0.138461538,0.208588957,0.32995951,88.14068103,10.15656418,0.0465587,0.35222672,107.976,0.86582278,15,78,62
0.280,0.335866261,0.513422818,0.849289079,0.069696969,0.162121212,0.233221476,0.197183098,0.54527163,88.73076014,16.46066776,0.08216433,0.38877756,110.654,0.81545064,33,96,109
0.280,0.327639751,0.404721753,0.732361504,0.065217391,0.133540372,0.124789207,0.214424951,0.32163743,89.0862497,8.365571318,0.06042885,0.37816764,110.998,0.86056838,11,75,74
0.280,0.315372424,0.397610921,0.712983345,0.049128367,0.174326465,0.11774744,0.234567901,0.33744856,90.17716371,10.35410136,0.06790123,0.43004115,110.809,0.81239389,13,79,72
0.280,0.354744525,0.514143094,0.868887619,0.100729927,0.119708029,0.234608985,0.170454545,0.46590909,87.670904,20.72036466,0.06628788,0.3655303,114.242,0.86155063,29,90,126
0.279,0.365625,0.484684684,0.850309684,0.1171875,0.18125,0.205405405,0.235955056,0.36711712,90.2135007,12.12522604,0.09438202,0.4247191,116.416,0.80510018,26,104,92
0.279,0.341113105,0.4,0.741113105,0.055555555,0.134408602,0.12079208,0.238425925,0.40184758,87.17595983,14.54519456,0.0437788,0.32258065,108.222,0.8265896,8,58,60
0.279,0.352409638,0.538071065,0.890480703,0.093373493,0.215361445,0.258883248,0.204899777,0.36363636,92.91948253,13.06331018,0.15044248,0.51548673,114.365,0.74140508,38,101,113
0.279,0.352189781,0.467213114,0.819402895,0.084532374,0.161870503,0.18852459,0.196286472,0.44498778,86.61430976,16.14300927,0.03178484,0.27383863,107.123,0.83425414,18,73,66
0.278,0.346875,0.489361702,0.836236702,0.0984375,0.159375,0.210992908,0.20338983,0.42706131,93.11952627,14.00797733,0.13319239,0.52008457,119.551,0.78957169,28,92,106
0.278,0.370253164,0.447272727,0.817525891,0.123417721,0.221518987,0.169090909,0.197560975,0.35279805,91.7154359,3.482500072,0.09245742,0.49878345,113.477,0.7578125,19,106,76
0.278,0.350073855,0.489184692,0.839258547,0.097345132,0.134218289,0.211314476,0.223320158,0.54352031,87.65124753,15.64166911,0.06382979,0.344294,109.115,0.85201027,31,117,83
0.278,0.34962406,0.438034188,0.787658248,0.093984962,0.167293233,0.160256411,0.245478036,0.35917313,89.45096948,18.41770563,0.08010336,0.40568475,108.86,0.81642512,13,61,81
0.278,0.320474777,0.434991974,0.755466751,0.054896142,0.197329376,0.157303371,0.192771084,0.38554217,88.13861293,10.76090036,0.06827309,0.40160643,117.123,0.7724595,22,85,84
0.278,0.361111111,0.470919324,0.832030435,0.099673202,0.160130718,0.193245779,0.213151927,0.3446712,90.9356978,19.18036,0.07936508,0.42176871,109.783,0.83956244,27,87,87
0.277,0.346153846,0.530726256,0.876880102,0.08361204,0.242474916,0.253258845,0.230964467,0.35189873,93.15018242,14.10658287,0.15949367,0.54177215,116.442,0.79126214,33,92,104
0.277,0.34017094,0.509433962,0.849604902,0.082051282,0.259829059,0.232075472,0.217847769,0.41732283,89.60514755,7.769785752,0.11286089,0.41207349,114.784,0.77034358,29,70,98
0.277,0.374090247,0.435374149,0.809464396,0.133915574,0.147016011,0.158163265,0.231707317,0.38414634,88.42274041,12.56980933,0.07520325,0.38414634,111.101,0.86314022,20,84,80
0.277,0.316666666,0.394578313,0.711244979,0.055555555,0.143055555,0.11746988,0.242957746,0.35602094,86.88206289,14.06208651,0.03490401,0.28621291,107.818,0.83846154,10,97,74
0.277,0.329022988,0.446875,0.775897988,0.070402298,0.261494252,0.1703125,0.212121212,0.3982684,90.17573041,15.74891752,0.10822511,0.46103896,109.62,0.71838235,25,99,96
