AVG,OBP,SLG,OPS,R,HR,RBI,O-S%,Z-S%,S%,O-C%,Z-C%,C%,BB%,K%,ISO,BABIP,EV,LA,Barrel%,maxEV,HardHit%,xBA,xSLG,xwOBA
0.255,0.325,0.489,0.814,100,28,82,0.273,0.644,0.468,0.547,0.835,0.756,0.090,0.256,0.234,0.306,91.99732475186104,11.415629119494417,0.114,113.774,0.517,0.261,0.472,0.346
0.258,0.333,0.497,0.830,86,33,103,0.271,0.692,0.484,0.506,0.851,0.755,0.094,0.192,0.239,0.272,87.97258031857451,15.83217573062905,0.112,114.328,0.401,0.251,0.46,0.339
0.268,0.363,0.447,0.810,89,25,80,0.254,0.616,0.439,0.625,0.806,0.755,0.127,0.234,0.179,0.327,91.25514547413793,12.811186691810345,0.119,111.729,0.507,0.271,0.491,0.367
0.233,0.297,0.416,0.713,60,20,60,0.332,0.696,0.510,0.561,0.851,0.755,0.080,0.228,0.183,0.270,88.25785373554793,15.027486356269899,0.061,113.186,0.388,0.225,0.366,0.289
0.237,0.296,0.383,0.680,62,18,90,0.365,0.635,0.501,0.573,0.857,0.755,0.071,0.219,0.146,0.276,89.01085278614458,10.754081139197716,0.087,113.267,0.416,0.248,0.409,0.314
0.274,0.346,0.558,0.905,84,40,100,0.289,0.686,0.484,0.546,0.837,0.748,0.096,0.226,0.285,0.293,91.78968394886364,15.618463689630682,0.166,115.334,0.490,0.283,0.581,0.396
0.250,0.341,0.512,0.853,77,36,75,0.251,0.651,0.441,0.548,0.834,0.748,0.114,0.243,0.262,0.272,91.30922173024523,17.751446217217303,0.150,114.820,0.480,0.262,0.532,0.374
0.283,0.389,0.604,0.993,127,54,139,0.262,0.700,0.466,0.654,0.788,0.748,0.144,0.232,0.321,0.302,93.71401675112612,16.079835084107547,0.164,118.618,0.551,0.264,0.558,0.392
0.198,0.315,0.352,0.666,67,13,50,0.230,0.569,0.410,0.566,0.813,0.748,0.135,0.277,0.154,0.264,90.28769851434426,18.29367564082925,0.118,112.337,0.399,0.218,0.396,0.322
0.263,0.367,0.490,0.856,66,24,65,0.221,0.649,0.437,0.560,0.808,0.746,0.139,0.251,0.226,0.317,91.084,15.680870581454919,0.131,113.152,0.462,0.253,0.5,0.37
0.243,0.317,0.378,0.696,59,13,56,0.231,0.611,0.425,0.487,0.835,0.743,0.091,0.261,0.135,0.314,89.38937832446808,8.924583551006839,0.076,111.065,0.432,0.243,0.397,0.314
0.289,0.367,0.457,0.825,86,17,78,0.246,0.614,0.432,0.539,0.821,0.742,0.103,0.206,0.169,0.348,91.33863670924575,4.663324462299485,0.094,113.935,0.484,0.255,0.433,0.335
0.267,0.316,0.409,0.725,48,14,72,0.343,0.766,0.548,0.519,0.847,0.741,0.065,0.224,0.142,0.324,88.06786712398375,12.720837732263513,0.062,111.724,0.384,0.245,0.376,0.296
0.281,0.345,0.516,0.861,117,37,97,0.279,0.683,0.483,0.542,0.820,0.741,0.083,0.241,0.234,0.324,92.29239891649048,13.497799121300211,0.139,116.081,0.488,0.273,0.516,0.365
0.263,0.324,0.381,0.705,81,10,52,0.337,0.738,0.530,0.445,0.884,0.739,0.068,0.203,0.118,0.323,87.99010180995475,5.513625030862021,0.040,111.581,0.351,0.259,0.37,0.305
0.275,0.325,0.444,0.769,76,16,67,0.296,0.634,0.464,0.483,0.857,0.737,0.067,0.249,0.169,0.345,89.41771377284596,10.44783846537272,0.089,111.012,0.401,0.242,0.42,0.309
0.263,0.330,0.460,0.790,85,24,84,0.278,0.697,0.474,0.471,0.857,0.736,0.083,0.216,0.197,0.304,90.909,10.915080029407596,0.111,112.620,0.471,0.28,0.49,0.36
0.209,0.283,0.383,0.666,62,21,60,0.272,0.666,0.475,0.490,0.829,0.735,0.087,0.278,0.174,0.259,88.74239751344086,14.172785933299732,0.090,108.717,0.427,0.23,0.392,0.305
0.266,0.315,0.467,0.781,75,23,70,0.339,0.692,0.518,0.517,0.837,0.734,0.058,0.293,0.201,0.340,91.76047422827745,15.016355933212653,0.119,109.968,0.471,0.26,0.482,0.337
0.257,0.304,0.411,0.715,60,19,78,0.328,0.683,0.500,0.618,0.792,0.733,0.064,0.227,0.154,0.307,89.89402406036446,11.763377126637243,0.088,110.981,0.424,0.273,0.445,0.331
0.275,0.333,0.485,0.818,102,32,103,0.374,0.708,0.539,0.537,0.835,0.730,0.066,0.245,0.209,0.330,92.66748860677083,8.505377197265625,0.119,116.662,0.520,0.274,0.475,0.345
